entrez_id	symbol_id	dependency_column	qc_pass
1	A1BG	A1BG (1)	False
29974	A1CF	A1CF (29974)	False
2	A2M	A2M (2)	False
144568	A2ML1	A2ML1 (144568)	False
127550	A3GALT2	A3GALT2 (127550)	False
53947	A4GALT	A4GALT (53947)	False
51146	A4GNT	A4GNT (51146)	False
8086	AAAS	AAAS (8086)	True
65985	AACS	AACS (65985)	False
13	AADAC	AADAC (13)	False
344752	AADACL2	AADACL2 (344752)	False
126767	AADACL3	AADACL3 (126767)	False
343066	AADACL4	AADACL4 (343066)	False
51166	AADAT	AADAT (51166)	False
79719	AAGAB	AAGAB (79719)	False
22848	AAK1	AAK1 (22848)	False
28971	AAMDC	AAMDC (28971)	False
14	AAMP	AAMP (14)	True
15	AANAT	AANAT (15)	False
25980	AAR2	AAR2 (25980)	False
441376	AARD	AARD (441376)	False
16	AARS1	AARS1 (16)	True
57505	AARS2	AARS2 (57505)	True
80755	AARSD1	AARSD1 (80755)	False
132949	AASDH	AASDH (132949)	False
60496	AASDHPPT	AASDHPPT (60496)	True
10157	AASS	AASS (10157)	False
26574	AATF	AATF (26574)	True
9625	AATK	AATK (9625)	False
18	ABAT	ABAT (18)	False
19	ABCA1	ABCA1 (19)	False
10349	ABCA10	ABCA10 (10349)	False
26154	ABCA12	ABCA12 (26154)	False
154664	ABCA13	ABCA13 (154664)	False
20	ABCA2	ABCA2 (20)	False
21	ABCA3	ABCA3 (21)	False
24	ABCA4	ABCA4 (24)	False
23461	ABCA5	ABCA5 (23461)	False
23460	ABCA6	ABCA6 (23460)	False
10347	ABCA7	ABCA7 (10347)	False
10351	ABCA8	ABCA8 (10351)	False
10350	ABCA9	ABCA9 (10350)	False
5243	ABCB1	ABCB1 (5243)	False
23456	ABCB10	ABCB10 (23456)	False
8647	ABCB11	ABCB11 (8647)	False
5244	ABCB4	ABCB4 (5244)	False
340273	ABCB5	ABCB5 (340273)	False
10058	ABCB6	ABCB6 (10058)	False
22	ABCB7	ABCB7 (22)	False
11194	ABCB8	ABCB8 (11194)	False
