genes,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29,PCA_30,PCA_31,PCA_32,PCA_33,PCA_34,PCA_35,PCA_36,PCA_37,PCA_38,PCA_39,PCA_40,PCA_41,PCA_42,PCA_43,PCA_44,PCA_45,PCA_46,PCA_47,PCA_48,PCA_49
BTAF1,-0.0033614526788342254,0.013264729345034575,-0.012563063712462203,0.0041092671380650175,-0.009154925313538403,0.009964828598692556,-0.018730768314011874,0.002286524398332747,-0.032777244161870604,-0.03291732620593625,-0.026428939118787343,-0.001144201930065609,-0.023940978836397755,-0.02291391216798169,0.008916774838683979,0.001109390756830747,-0.039561907203577516,-0.02048808418722535,-0.02245739837070364,0.003542100026963451,-0.015018394660063114,-0.021982318415871872,0.015197145623614995,0.01614496097190175,-0.028448711333641283,-0.014448024349526764,-0.003434245234930307,0.012697896593922583,0.002199379062534979,-0.020547104089141715,0.02426514520840462,0.047841659103354084,-0.017783644024491178,0.01323825025090792,0.021433765055025193,-0.033113231289953804,0.0171178994040884,0.003441816127853273,-0.011855697204442074,-0.017097812027058158,-0.014563465583611374,-0.009529337820279657,-0.024353380363111788,-0.009044262133703773,-0.015615562611693645,0.025228747702020753,0.02846773480135154,-0.02309246794049887,0.02462051171600277,-0.000486495709739058
DLST,-0.009584591677640983,0.032138520000711275,-0.03779702867083788,0.01693372923385737,-0.013620382860994575,-0.012535769907153842,0.012652425027964853,0.01219094035592064,-0.01607333597451486,0.025642268260631807,0.00871083731345683,0.002272298156174558,0.013891790502743839,0.0036324565886938056,-0.02297209921434804,-0.00421139937103324,0.003009703585871772,0.0017367420904734906,0.014159576435901789,-0.018641270507523202,-0.016749744625529247,0.026257279013616075,-0.005433212518230202,-0.0002146103960561905,-0.012343106809754523,0.0011379411995617163,-0.0010272676174806494,-0.006002040633332467,0.003768062226573149,-0.006023857732805921,0.035011254350410616,-0.010694134301853583,0.00173067379183538,0.003923214184855588,0.016855038075105633,-0.00604439556801005,-0.014814730560419802,0.016679238994279266,-0.011500893464116651,0.007486152320676391,0.0034638404321725865,0.004938492052929124,-0.003391526682248594,-0.011787901025312717,-0.009208197354267075,-0.005858138253805592,0.006012912441351555,0.0009749716918645516,-0.013812100507855021,-0.001327266868856118
GOSR2,0.03390048441862488,-0.012111710558770356,-0.015173594145587362,-0.020270112720736456,-0.00875056136359208,0.0035759413083725194,0.013287561958048007,-0.018772769059364133,-0.012478740410740539,0.01631039047275783,-0.009083115195076956,0.012216255002287827,0.032717690984499476,0.024286437622121286,-3.213554303948501e-05,-0.00680577283753472,0.0051439246110777,0.020884073511856185,0.00670025634806673,-0.007755884313855647,-0.022721526240083834,-0.017097717086068893,0.014715646349468764,-0.014161481454027902,0.009496483319352074,0.012920057242257485,0.008280202195945094,-0.024888123617095897,-0.01878894228388139,-0.003726444605251405,0.000273753367104549,-0.012385320952567207,0.0367530107322898,0.0010254275154894313,-0.004731259706593462,-0.003679873823140755,-0.009074990778074023,-0.03284539498813733,0.016272374356255316,-0.014120393518707518,0.01634520048246174,0.008703580624618125,0.007671057065758509,-0.03470102656337968,0.01805350869452382,-0.016622617187480905,0.0315125849475133,-0.009309131477195375,0.013095081651244385,0.006297205313784392
MORC2,0.00176096294075583,0.003262573694527769,0.006913013260224148,0.006487547148773033,0.010703913875867901,-0.0006176104446364764,-0.00026279634194591303,0.007555232418153198,-0.002467996881365974,-0.0019149334926726982,-0.002427142590781983,0.0056681958417228884,-0.008969362194918899,0.0035542480036041815,-0.00010630289805521864,-0.004034782599339326,-0.013930641895278274,0.008872256529381938,0.006615228335085868,-0.01519320191944813,-0.010002955800527302,-0.0004485330812197144,-0.010609567729962846,-0.015340915701239426,0.012926151860463437,-0.000651610158700292,0.0071818569498761555,0.004326980535487106,-0.0021796869149841363,-0.0016420281979812744,0.0022850956784923443,0.008406278924819863,-0.005997415023837257,0.008897358852277841,-0.006310501483966302,-0.011948105461198635,0.013887557015460383,-0.012826777462868418,-0.002283335722213378,-0.006669872586775124,0.0017559739574780813,-0.006659054854690778,-0.010073200282211247,0.010374819853856668,-0.002913035612163121,-0.010295157073655907,-0.007715438755797828,0.0184828883966703,0.005891095573461289,0.011389498358709381
LCE3B,0.008911984865901048,0.0061433970910550455,0.0014293540119303518,-0.0020307228771026483,0.0026162706420194437,0.0002770033097800612,0.0014345986599656082,0.0035528009198721455,-0.0071025250779067125,0.004008334752642286,-0.0021580495583195807,0.011561976236703238,0.003965473559871535,0.0028015405944999262,0.007818992618583119,0.008670794177225171,0.0072122282696023875,0.014757370342244086,-0.001072028782971391,0.004630819152913199,-0.003231876022874213,0.003807245344125453,-0.001481377298686432,-0.005561290073055484,0.00936560396748255,0.0016876034637470733,-0.0005333630306058315,0.004068726211015189,-0.002914999369955392,-0.00013593457140712224,-0.0073431575986305205,-0.009272776734865698,-0.008929282992579555,0.004016853015965795,-0.001341865976537464,-0.0003481834813896369,-0.00944495846399997,0.01326926369940522,-0.006285077787603439,-0.0017391864513812301,0.009347239441333012,-0.016335215572485556,0.003426406364663623,-0.0022835496416723704,-0.011376212087878873,0.006034802057595213,-0.012574338430231806,-0.0005284929394452504,-0.0007412193549500289,0.0018472254924734868
ITGB1,0.013590381223470756,0.0040317581506074335,0.010952096318139558,0.010570775860444451,0.06391840182181492,0.021778771302965877,-0.032267143648276514,-0.01604016129581483,-0.008636304521533982,-0.03698415018907261,-0.019728144652773328,0.005311590518754933,0.008218226273909932,-0.037509768757087676,-0.028240739610553532,0.03012524741465736,-0.03936078272837485,-0.008708196657059634,0.0072884299603806785,0.024674380549795035,-0.009274596078285431,0.009975864041309533,-0.018532765769375868,0.03349735172781771,0.019774697748291988,0.0056050374806500556,0.006735422290066873,-0.01729097836073965,-0.023688019124938533,0.010151467398057078,-0.0006350507605800452,0.030241639851077945,-0.018254042973469324,0.019181624479630857,0.029996512752502178,0.012646736310720061,-0.028357047214364457,0.008791634417154198,-0.04024895595373451,0.05693008268450938,-0.004469646591656217,0.02861377142115725,-0.011686793106874802,-0.027278973335530244,0.01659136853808965,0.017184912393788748,0.03199060389121692,0.05984167156625086,0.030638835896178575,-0.012849868164921499
RNMT,-0.007175260741933593,0.018104490985430977,0.01965682835809619,0.011346285437326086,0.00364328971556687,0.023491193089072614,0.0010926936470109228,-0.013382939015860015,-0.0032185128099565235,0.030075199867549973,0.0010902056453803205,0.01322361724995512,0.008969110083593353,-0.00939435725085987,0.03295453538057601,-0.00472256472437052,-0.005814278481667941,-0.030950489327016748,-0.028099285301794275,0.0005555182241685067,0.04179543120556472,0.0024623836409316067,-0.017344936700365278,0.012453233079328009,0.02192380406691019,0.007388849819839879,0.0019859038314598166,0.009312403016013776,0.001433092743998963,0.019087758740660106,-0.0035119254507167868,0.02508877932358559,-0.011562010870500197,0.0031598806612689384,-0.028175967866559532,0.000679387794911613,0.002160870347164877,-0.006587800274027142,0.002380030868904817,0.001953276937926961,0.002105265653381315,-0.008532157700154369,0.01787618716959203,0.0014942053541355492,-0.0073512284993306936,0.006588321050390666,0.0031289307062623384,-0.01408161033056582,0.012572973703859451,-0.022316342291859657
KIFC1,0.00882628576044569,0.0006596645119640321,0.006847458860587943,0.0002906035227812222,0.0054333659448531045,0.00022199423169381018,0.01935385011174344,0.015921594636695496,0.006876147875181449,-0.0016504617617432303,0.014649432117994937,0.004426527202523629,-0.016088262880120534,0.00314341775391587,0.006211156393178791,-0.012291044148668375,0.007436423876043561,-0.0031694557453543913,-0.005309460831841212,-0.005406872368210567,0.005901993869367775,-0.0020901848604457556,0.012036749436611155,0.010873796116213719,-0.007822477473025159,-0.006521550461671243,0.026182510295225336,8.972973164769391e-05,-0.00024170601578458922,-0.028710880072452784,-0.014084395786349334,0.00452219793340785,0.00502850208626982,0.012422338365636706,-0.005337964084854166,-0.007293949601733838,-0.004856247188306664,0.0187850698228108,-0.0007554502388289917,0.008761951377088904,0.009580733756461486,0.010104907453766994,0.0037432097933234555,0.008554352401512871,0.005937375222202517,-0.012532165678172828,0.008307946962470857,0.002817827403958601,0.004181236016775621,-0.0048233209237159794
MDM4,-0.009449213689470786,0.01167265081457269,0.01187615748425353,-0.004735516919552869,-0.05001104350588891,-0.07076317273448411,-0.04633682497095217,-0.04069845845108595,-0.034168948895272215,-0.031912788165093534,-0.012445769719424902,-0.005230019832637924,0.014353949396741087,0.0076786029872790386,-0.029556538880791593,-0.017685917361773128,0.008343952213415886,-0.001083075989498803,0.03906748743586073,0.017122426962318252,0.04795745451255855,-0.006390204221083535,-0.02152012041991251,0.004799458880275172,-0.021981978046585686,0.006926732305997095,-0.0035292088365710466,-0.010545692895585348,0.006388338225371679,0.00618295457834384,-0.00956559388785358,0.009842704667169275,0.00601412854839293,-0.004069570381399477,-0.0002435035020815915,-0.016809787860192393,0.01069163946792679,-0.004242333070425207,0.019337556447998668,-0.020932026089655387,0.0004303306783984834,-0.004674838661597981,0.010616915039762323,0.026304819875533833,-0.002931622482136633,0.008820083965809177,0.011344740076254332,0.012141929275643707,0.013730497056580308,-0.0029773384673958954
HERC2,0.006894127284141948,0.008237891208058953,0.008076492451780255,0.005582123788578176,0.006947639556562908,-0.010632546402601127,-0.0057933127397411625,0.017851702659387285,-0.005529451635714372,-0.005459748595024765,0.008122749318225151,-0.005895182655625619,0.01269129834406061,0.0008535537130892501,-0.012972731498447052,0.01634882293498142,-0.004999841239833948,-0.0027295663848919795,0.020819044959094125,0.0012253990321185507,-0.0028509668860405473,-0.006436146073533253,0.005398857559039425,0.0011197998386277303,0.01785295660209911,-0.0016419140766202292,-0.013799169827643804,0.00933058053085961,-0.011104212556067663,0.004057984048092463,0.010213927851132447,-0.011500034866660208,0.00040445723586517195,-0.004935425997257839,-0.006494616227745903,-0.009446873532183772,0.008140731313407906,-0.00805930033090018,0.010619026148663986,-0.011032654316679616,0.0014629587109630253,0.004687057996782078,-9.249711527909076e-05,-0.007161707786157497,-0.0015278260639580508,-0.0009629873040038258,-0.013316711645775975,-0.011034330475705083,0.019110389972420483,0.0025991383411791804
