genes,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29,PCA_30,PCA_31,PCA_32,PCA_33,PCA_34,PCA_35,PCA_36,PCA_37,PCA_38,PCA_39,PCA_40,PCA_41,PCA_42,PCA_43,PCA_44,PCA_45,PCA_46,PCA_47,PCA_48,PCA_49
TIGD3,0.01071420892459912,0.001401927526967329,0.002633124137155183,-0.004014535498156455,0.00968140379616626,-0.0031242980571867065,-0.0017923673393326776,0.008347122656579145,-0.009286435109605182,-0.013522535616842786,0.005734793900963349,0.005161898983460653,0.009264442431999444,-0.0021393855645511235,-0.005773938671040114,-0.009430873664477268,0.010363923520051502,0.013510886240206755,0.0018674646776426257,-0.003493304100523797,-0.014100422641353708,0.019675694154817815,-0.003751444511097817,-0.00031712977941948314,0.0008197435014417827,0.004515239727791289,0.0034001022973890616,0.008036604629355747,-0.019743035030291036,0.008559139406176407,-0.011569418942549812,-0.0009101231846530572,-0.00975922737759804,0.007326910757442793,-0.0011904833503193566,-0.005785723116730788,0.0030511019714374635,0.003926130768336418,-0.010875568386340599,0.0030648643903841907,-0.004950087623781294,0.006507305590515367,-0.007248955469994504,0.0026025715471823564,0.0007957791551012201,0.0024299181308941567,-0.009665145697440185,0.004098746795924599,0.00876018953549836,0.0036897308541044586
EXOSC5,0.022203288059873105,0.02666318538049286,0.0019506241027254915,-0.0010860677166478403,-0.0034328731661111282,0.021469987172174403,-0.013723676753987047,-0.010993547333941247,0.004328694007258659,0.029014821606440647,0.010587607131092986,0.01796503802014329,0.002450041503231979,0.018208244599754814,0.009425755470240741,0.001599164717789,-0.016655903743898314,0.0044065701844420305,0.017544794045573058,-0.0052862221672047415,-0.01141070758305104,-0.018542384261107714,-0.012337514037674571,-0.011569746948048213,0.0014894698764890356,0.0007895167959122635,0.0020289360901794362,0.010778022376098612,0.011321586668020746,0.0078058473317398295,-0.020899775025607522,0.004141878736770848,-0.006685408938737536,-0.008540216557447076,0.020583295570402494,-0.012791959537450433,-0.00784031787087227,0.012457296452283887,-0.009081935821869162,-0.003825662936377143,0.0008895252035817525,-0.00032347395981417043,0.00839457084861414,0.004356519353645602,0.008281850539676628,-0.0020097393354938276,0.005371384694300087,-0.002131649992716511,-0.0002597746636805805,-0.02192658702295572
XPOT,-0.004561824651216631,0.0009378095469228288,0.013139522439248482,0.0008323690912215705,0.0069343904158609354,-0.00912530504474083,-0.010527963233870414,-0.007315569924450845,0.004086420851713488,-0.018356573069903424,0.020920559433777245,-0.006465543688364628,0.01331119332310671,0.010145850032874238,-0.0009237122015440123,-0.001197594122811048,-0.026172245019207955,-0.007806150092547663,-0.002581427663206453,-0.0020216629742574803,-0.008494249461674323,0.013004391761227765,-0.02090083066080272,-0.012401092011858851,-0.00016701757498290435,-0.004974500894397161,-0.014155342042982905,0.011633623736798547,0.008468241576993087,0.0009081873106162384,0.02988038101594611,0.009753867023875502,0.005272366221970159,-0.023194448169990164,0.0055019857071110685,-0.004265852902417684,0.017300583940755027,-0.007218462319273468,-0.0009317932898138086,0.015133233705229773,-0.01342432185135874,0.020678079482059644,-0.011322249478837561,-0.005140920897036407,0.0036964951145636903,0.002042350992155452,0.019124776239843818,0.03607236545610214,0.017552282731478526,0.019537165224338966
SF3B4,-0.015989131132031695,-0.017296797247560166,-0.014752351326720764,-0.005243636599809168,0.0020089995884324794,0.03517193531416424,0.01537767646997549,0.012877884777093264,-0.011805845463637929,0.014055193269672733,0.021141846532893433,0.026160781992083427,-0.0402630766739275,0.02806958623248045,-0.0048675721112964995,0.003815819129663393,-0.001940631199133854,0.044325530938613786,-0.017941197224867846,0.018234727880417405,0.011784778458721133,0.011316216593171382,-0.020077163893517408,-0.024378848151495353,0.011021297550423522,0.0026928984607519683,-0.01585819607765959,-0.010651244395924152,0.0005890910721520889,-0.030784414168356897,-0.045512203654006926,-0.02812800224493762,0.004172543180755963,0.00017006055326471045,-0.008772628948147182,0.008382690693875186,0.0020846721117938724,-0.035142750895841,0.019130983051341748,0.0017903148749185617,0.07641224802306508,-0.012469480046124226,0.009612933485218814,0.0853477151893648,0.011326281767909492,-0.020162303216450857,0.0026011600546131924,-0.0029244817987854567,0.027655678438122836,-0.0037432896733175956
CCT4,-0.01126113557512934,-0.008416347629894277,0.030421522811280292,0.0006330074971393744,0.011940697059165246,0.013726635685139202,0.037270921422808,0.010433329884789316,-0.015794287919664293,-0.022428885178395683,-0.011236052321696662,-0.0030691303367120235,-0.054644703147103756,-0.015543776650895218,-0.002873143041590032,-0.04794590627032817,0.02026472876671899,-0.029341093827285378,0.010814565416680083,-0.010149449346040293,0.0071291300223024255,-0.014744765573347019,-0.0617954389040365,-0.005963944660312253,-0.016760563934650793,-0.005467214429698858,-0.0019335529922733382,0.0054463589544411,-0.014223693224098872,-0.003459619615201235,-0.01579364737432244,0.007729440462907489,0.0022481991334370763,0.02784177790810514,0.014378363620119948,-0.009152687142007737,-0.019006158837945205,-0.024108938695465106,0.048050241104291944,0.033786917821084415,0.034183164550074384,0.04873527099145122,0.005744160204308119,-0.02299067224532668,-0.013328980405194535,0.0007224312949653866,-0.029964848864478515,-0.008735282100066875,0.0339826717075393,-0.017319973152407422
KARS1,0.02638976460337857,0.002653202150999604,-0.007971443830824236,-0.00690368592249525,0.005306546146661874,-0.006808820605084744,0.007998586709490722,-0.0007400223145400226,-0.01640524458772541,0.016989759076254406,-0.014648503300986075,0.023580088260548932,-0.018654468905472812,-0.006529925724948977,0.006127646491840469,-0.03096301567957793,-0.021359288162357912,-0.005585788002433341,-0.03966768866372953,0.008023429919352345,0.035748509047730706,-0.016332742676320042,-0.01998614424490159,0.010003132477974954,0.004751717181344115,-0.008405844657275228,0.00699075621942686,-0.0010975586782329416,-0.001544659140614594,-0.011099085310292578,0.01396958137436437,-0.00585851195851996,0.00029547791879623516,-0.018419217868144603,-0.010953511765400551,-0.04111810354483864,0.021838198995806322,-0.000558770287036522,-0.00866422455926686,-0.03153126847953648,-0.017135042759900257,0.012896143587491433,0.014540414915013221,0.031411182160943255,-0.003821305678538156,-0.005037899723542585,-0.0020287929322114727,-0.0011693083401990146,-0.0011314584442911435,-0.0019710147672336634
BUD23,0.030975351971144458,0.01471770995767375,0.0024728117233739997,-0.01467011873443271,-0.012538182936838362,0.019554566687905305,-0.011028776315805774,-0.042588435607458515,0.004997421437694667,0.02767448167703108,0.031587810095636534,0.006101122447991374,-0.004252363917244156,0.02601175029847942,-0.004751478650611827,0.004081377434182211,0.009399303179255594,-0.0031191112608598276,-0.008604891902213911,-0.022518323851235356,0.02125812146918979,-0.01835472996554722,-0.022570088949219795,0.000627363738901283,-0.01917226889977739,0.018276641743868036,0.0068272799561126364,0.001052146048785485,-0.012203423348781096,0.004319707841110676,0.006148498814148208,-0.005342557435623083,0.0012219615892586353,0.014537109004857881,0.010444596261414914,-0.008059879411442164,0.007710822961596208,0.017996184101905673,0.006468059899255999,-0.001987075954288913,-0.03461645104445877,0.003541930589567462,-0.007752530209854018,-0.009806097259232151,0.02448389900656809,-0.005926605648676172,0.01615879798929663,0.009382889827919063,0.014972290273987894,-0.019708445844833476
RBM18,0.015496038295798613,0.017769981466555767,-0.004980456791352726,0.016701501205596395,0.03473508654356502,-0.0013539720782276563,-0.005103931098283248,-0.008869579822645385,-0.040604391351112726,-0.012195496831443135,0.015495482324903526,0.006407185239117478,0.02129294507290089,0.021759164196765178,0.0022768244775738596,-0.009865636478152036,-0.015601222788848266,-0.0064617987603652225,-0.01804404035969594,-0.008779700659994272,0.04016547248555468,0.013212748055990941,-0.011233292812217853,-0.00871675807701001,-0.010176172776460437,-0.022629936028074296,0.02999805637525678,0.003663952386931313,-0.012886621006589364,0.015293490410118214,-0.01385612338620333,-0.01302022447090745,-0.008511126776523228,0.0007594450770857813,-0.001420935350073869,0.005684795613014591,-0.007491967434971579,-0.006693632824487384,0.013924384504934289,0.009166620912272638,0.008787168666720456,0.00874806595277532,0.022279133241579673,-0.009200274275070853,-0.007250451585606234,-0.015802525174672257,-0.018043048701715608,0.009456906235867322,0.008475430576221049,0.012465589448730498
GALE,-0.007981761433014047,0.006559195050139694,-0.005549881781421936,0.0139002274805459,-0.0010207186202307772,0.005283063722738959,0.02480256579630409,-0.006031588074424657,-0.005649098901123373,-0.003999138944450326,0.009292672284487146,0.0034381528280863095,-0.007503763590655673,-0.004106164163627873,-0.017196441816886416,-0.010530412638924057,-0.010348435456965111,-0.003056875462191178,0.003938576922543226,0.005289410004014195,-0.002408968298485443,-0.00886428216155356,-0.007857398618519291,0.005004406526249104,0.0037161787651668952,0.0007536559983500195,0.003969416984330812,0.013003536516316479,-0.0007092923284993222,0.0038061351952322947,0.00419734690904717,0.0031871597678363134,-0.005980272167442769,-0.005444710509867486,-0.002781814506269094,0.006888438903707714,0.011284689414235105,0.002358214767145195,-0.007866769547852348,0.012155977383317834,0.0016746749311911879,0.02016411729470542,0.0013998113132847557,-0.00013088145048966828,-0.0015903360870798881,0.008902673051224734,-0.01307447745530841,0.0050590405554452106,-0.0004043923544359268,0.006341871656408296
KBTBD2,-0.007954783680812465,-0.010348403287205843,-0.004216439844912624,-0.009413191855251276,-0.018760465913435793,0.009535965757565927,-0.013478743482662104,-0.013187430395742076,0.01780762984425693,0.01931648431660481,-0.033034352848584865,-0.028289940379718846,-0.01604231885429559,-0.004557212998168258,0.0071427472355259525,0.00040028810710259627,-0.003000468016453799,-0.015236633500104324,-0.010768578613898565,0.00019632176745762033,0.020422092094882417,-0.0013820382629006905,0.0007743503220154362,-0.021889212804230326,0.0034915374854587464,0.00013133381620529676,0.0013920050540394144,-0.009761025237681598,0.017776710220424735,-0.026692105687478915,-0.0027713633196686065,-0.005098746594589688,0.007241484320982641,-0.004894771878989915,0.001743996246087998,-0.0045792131608576765,-0.007421439369919788,0.0031461721993799917,-0.010267751770765254,-0.01656663852983316,-0.009298635546837823,0.007467818442428149,-0.008018782420158252,0.0022406932118124406,-0.010944462130864106,-0.026664491636958564,0.0035610663121019527,-0.012217665416060269,-0.011010659254843189,0.0010675246087890075
