ModelID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
ACH-001549,0.7706634,-0.54915714,3.272427,0.5666858,-1.4866649,0.15986863,0.8895818,1.5808372,-0.11722499,0.5095364,-0.095116824,0.49491572,-0.77396023,-0.6096548,-0.9378878,2.6788964,-1.3674963,0.8563603,1.0977571,1.485819,0.5031568,0.5174521,-0.3982017,1.9326793,2.5277102,1.052525,2.087955,-0.44401884,-0.5672005,0.27786952,-0.43835723,-0.87169176,1.345074,0.082190126,-1.6025271,-0.46365714,0.34238765,1.6365099,2.4965162,2.9730196,1.9151843,0.493111,1.1115234,0.26332414,0.7697095,-0.08610125,-0.7687944,1.3030938,0.31075493
ACH-001992,0.09637421,-0.05036541,-0.552537,0.62585354,0.27970016,-0.31116283,-0.5012988,2.4036822,0.62037545,-1.0668235,-1.665748,0.8398876,1.3856659,-1.0537933,1.2376258,0.7931261,-1.0910143,0.07586396,-1.7964175,0.5488808,-0.35143334,0.44497845,-0.906833,1.4076923,0.7002712,-0.53152585,0.74277425,0.36877236,-0.59191996,-0.5752786,-0.7455493,-0.33475408,0.81175727,-0.17366304,0.8436698,-0.7385551,0.02567771,0.5240517,1.5510209,0.6276329,0.34681216,2.978342,-1.2945211,0.7832082,-0.07419574,0.4900113,-0.27273977,-1.3565941,0.50674784
ACH-000035,1.2889014,-0.706702,-1.5377846,0.5170402,-0.80246544,0.035316907,0.08103359,1.7196577,-0.6960009,0.88196856,-0.7334436,-0.6096015,-1.4251308,-0.67787814,-0.11088483,-0.49373013,0.18936539,-1.7790811,-0.15671292,0.4123525,1.1147767,1.1071784,0.8650316,0.3343388,1.0414402,-0.24530858,-0.2870559,0.5794653,0.12772669,-0.9910531,-0.0032520294,-0.2577716,-1.3721393,-1.4782999,0.6600724,-0.43161187,0.6890403,0.8249945,0.119295985,0.14966583,1.0488452,0.5253812,1.3013557,0.18947528,1.0392983,0.5972613,-1.7011373,-0.1317373,1.1781669
ACH-000911,-0.07097995,0.31486514,0.9343094,0.4933656,0.10296068,0.122502,-0.82630324,-0.10941142,-0.84578943,0.16738847,0.31359425,-0.3162613,0.2237773,1.6048982,0.07388833,0.6265567,-0.052636024,-0.22992904,0.14792717,0.99881476,0.46123904,0.62906414,-0.78240013,-0.2663873,-0.6430365,1.306841,0.9629201,0.97878593,-0.1156382,-0.68768334,0.7074182,2.0896907,2.2230036,-0.7293307,0.098704934,1.3298157,0.8560552,-0.21081957,1.8158216,0.7940171,0.2867467,-1.2508477,-0.015384043,-0.600473,1.7744555,-0.27902287,-0.4272216,-1.0439191,-1.5192105
ACH-000259,-0.95536137,0.21010892,0.47366822,-0.8399825,1.161763,-0.3781706,-0.9235946,1.9493742,-0.16718653,1.4788655,1.0113325,1.3056593,0.25456458,0.9243199,-1.4482142,2.7824333,0.5425774,1.2547293,1.5963463,-0.8332058,0.6151424,1.8521464,-0.26125777,1.1295671,0.048395842,0.14188129,-0.57223743,0.14858443,0.46042377,-1.0051022,-0.39748064,-0.2399512,0.6132282,-0.46426463,0.21455503,1.2292931,-0.3529384,-0.71653104,0.35642827,-1.1570295,0.38389564,0.60947436,0.53517383,-0.20861669,-0.83348185,1.100798,-0.020259127,0.006874889,-0.5571941
ACH-000329,0.46487466,1.4921428,-0.54584396,0.68269295,1.148823,0.9457324,-0.11333877,-0.061850466,2.6106415,0.17407873,-0.009858423,-0.7689918,-0.20392609,-0.48181054,0.5454977,0.23877762,0.52520084,0.053757526,0.8820002,-0.3050292,-0.12176807,1.5837057,-0.67311853,0.82532084,-0.17401135,-0.45166582,1.4212689,0.4278285,0.55038655,0.85267735,1.687117,0.3455575,-0.43404102,0.4873374,-1.0365384,2.026687,1.4161755,1.6332753,-0.19988424,1.3186147,3.7001166,1.8210183,1.0089638,1.7843337,1.469681,0.17416644,0.07674208,0.74040794,0.73527527
ACH-000630,-0.095322534,-0.5909268,-2.0720758,0.8994728,0.086224794,1.8680987,-0.65787256,-0.18211588,-0.76810277,0.2935976,0.2786696,3.921498,0.75416505,-0.30326894,-0.6367575,-1.9872701,1.5703108,0.643683,-0.86464524,-0.7884915,2.0504599,0.50399953,0.5250122,1.6979184,0.78955746,-0.65131265,-1.0961604,0.9776721,0.28061324,-0.3499497,2.0669231,-0.3520292,0.74139494,1.2901968,0.23608942,1.136407,1.3774252,-0.2652557,-0.064810514,0.42683232,1.3900642,-1.0314354,-2.0292327,1.7430651,1.0719817,-1.1368544,-0.016064942,0.37263808,-0.35331973
ACH-000702,1.1965184,1.1251338,0.5878484,-0.053179145,0.9554134,0.4001723,0.5677296,2.41407,-0.94628125,-0.70457506,-0.26434195,-0.86482203,-0.70021915,-0.736507,0.92556477,0.529119,1.3380047,0.25976822,-0.21984631,-0.7194332,1.2355845,0.9547547,-0.061594486,-1.3195707,0.020402908,-0.04100591,-0.037844017,1.2475344,0.034459352,0.47942638,-0.994915,1.2218168,-0.26595104,0.04523655,-1.1842664,0.1086767,-0.11136377,-0.28627628,-0.22475302,3.0209966,0.19343802,0.27862734,-0.0017254949,0.12633681,-0.76902974,1.6608655,0.19730294,1.0495111,0.29109225
ACH-002283,0.6955126,-0.27654237,-1.2721791,0.1837818,0.61895007,-1.2074935,0.6210737,-0.63231844,0.024369687,1.6810539,-0.39997122,2.4500396,0.68840384,-0.7448058,-0.57283163,0.6280506,1.1481264,-0.34046984,0.9706749,0.8282127,-0.43391684,-1.0868678,-1.2407401,1.3085098,-1.0309424,0.03803652,2.7365265,-0.2151984,2.4201636,-0.922112,-0.22808838,-0.58768445,2.0279086,-0.6504177,-0.6213798,1.1664041,1.5070667,1.0275904,0.2270139,0.14080498,2.5748215,-0.69791514,0.27360135,-0.10515687,-0.93412423,0.12287694,1.7101092,0.8608048,-0.9866504
ACH-000709,-3.3535914,-0.6372684,0.66597986,0.7522751,-0.534665,-0.11538464,1.6925571,-0.48431063,0.12496418,0.69569325,-0.4190539,1.5315175,0.69206256,0.20461977,1.6082711,-1.0678748,-0.766208,-1.3526976,0.15635845,-0.17709698,0.6739294,-0.8489405,-0.3358949,1.5084364,-0.008281138,1.1582599,-0.83310413,0.99607617,0.7356486,0.8168701,-0.74874395,-0.22195008,-0.17198479,0.019804329,-0.22484326,2.0733535,-0.5964624,-0.20328575,0.60396755,3.5159492,-0.22420539,0.6611225,0.84608537,4.0993834,1.8944763,1.505091,0.66964245,-0.16716993,-1.1574385
