0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
AAAS,-0.038390126,-0.010071573,0.031174647,-0.07553271,0.14733103,-0.008981705,0.052985188,-0.015244976,-0.07949964,0.008005168,0.0325906,0.052574676,0.038786694,-0.011179175,-0.0062065115,-0.0668439,-0.020884017,0.021346327,-0.023771925,0.017981514,0.030403811,0.00032398265,-0.06165153,-0.020205919,0.0005297939,-0.047783762,-0.050795242,-0.1197857,-0.019908307,-0.021469133,0.11052808,-0.06508781,0.011512636,-0.05189847,-0.010264187,-0.045454238,-0.015540769,-0.025638355,0.04177168,-0.03621588,0.036292516,-0.016212234,-0.09393816,0.030863278,-0.003590017,0.0063227257,0.0077079996,-0.02043917,-0.008555976
AAMP,0.061055202,-0.041609693,0.013261492,-0.0211861,-0.0001305401,-0.074913055,0.020564213,0.06912026,0.026608763,-0.0077252225,-0.12648875,0.08827758,-0.040724352,0.0035422442,0.08944924,0.049280945,-0.039751504,0.018260743,0.075283326,-0.052623887,0.07529612,-0.023574352,0.05327006,0.012074678,0.04824513,0.080161616,-0.02892441,-0.0370087,-0.007971803,-0.0023450544,-0.020951755,0.055671033,-0.05090192,0.0065198387,-0.0811461,-0.009582994,0.020425646,-0.055457316,0.01895475,0.004073474,-0.0065112356,-0.023371441,-0.0058556367,-0.021866081,0.012609232,0.0057224035,0.012720612,-0.033651013,0.012130524
AARS1,0.0034464027,-0.06164796,0.016865904,-0.082558796,0.06305743,-0.00885516,-0.023238901,-0.027252212,-0.09671859,0.083446026,0.074251235,-0.0579295,-0.08051798,-0.019176146,0.008235978,0.03357958,-0.05682197,0.014596007,-0.010863038,-0.02183924,0.019962838,0.02892532,0.021759747,-0.048795648,-0.07745763,-0.036899544,-0.007430491,0.013062622,-0.025804399,-0.011052584,-0.0141616585,0.018477902,-0.05512021,-0.028139891,-0.038307793,0.014274834,-0.026395516,-0.02889487,-0.01602401,-0.027030569,-0.03918198,-0.053009167,-0.09348127,0.0042912634,-0.046226747,0.0064104255,-0.07016764,-0.013230788,0.012958844
AARS2,-0.05409525,0.004925601,-0.055858996,-0.01041383,0.040705495,0.030561425,0.09311582,-0.055641,-0.011852406,0.020741751,0.032705832,0.046684403,0.008762358,0.02986382,-0.0015861972,-0.049189556,-0.060776304,0.0757685,-0.0427642,0.026376326,0.009909491,-0.075683594,-0.058480605,-0.042457692,0.051512364,-0.022020403,-0.0936122,-0.058488227,0.014044592,-0.0047663413,-0.018187815,-0.0033819843,0.00019833208,-0.016425023,-0.05087093,-0.042429846,-0.03771937,0.0018049855,0.06067768,-0.008817955,0.07771479,0.0034478735,-0.04912537,-0.054797452,-0.080224164,-0.024840608,0.07614022,-0.05624366,-0.042099472
AASDHPPT,-0.021162542,0.025108047,-0.05459026,-0.031430695,0.049622618,-0.021308567,-0.023289664,-0.05716683,-0.012088711,-0.0065947114,-0.01781984,-0.053440824,-0.037315503,-0.07054545,-0.014277469,-0.07494019,-0.07465502,0.017410738,-0.09486312,0.026817586,0.051015534,-0.12428943,-0.004809493,-0.079622924,0.0069973096,0.015295998,-0.02197376,-0.04713576,0.007935874,0.018732639,0.022200624,0.023950672,0.030069718,-0.030396536,-0.06900975,0.04735805,-0.052729584,0.0031974395,0.010321763,-0.032670848,-0.049985252,-0.0932794,-0.012201367,-0.012457818,-0.021575172,0.008026865,-0.04732537,-0.039885342,-0.052857697
AATF,-0.07244483,-0.004413567,0.025467347,-0.09692621,-0.04808564,-0.047872875,-0.0735364,-0.039422404,-0.104586594,-0.052574735,-0.08981043,-0.012812393,-0.031415727,0.094391644,-0.07945097,-0.12202202,-0.016069382,-0.059964452,-0.019700836,-0.008112602,-0.0514818,-0.012754388,-0.0129736485,-0.081303135,-0.00838658,-0.00457763,-0.054794636,-0.10966577,-0.043546293,-0.033107243,-0.0074007865,-0.050729018,-0.017666858,-0.021699505,-0.078196384,-0.010883952,-0.031885877,-0.08313417,0.09559262,-0.08721933,-0.027722528,-0.03410615,-0.014229133,-0.010568997,0.0015897545,-0.036399517,-0.02353071,0.06860701,-0.09051486
ABCE1,-0.00563253,0.030472653,-0.06890638,-0.0695737,-0.074120276,0.044206575,0.03816932,-0.013861989,-0.13057339,-0.008105915,0.06493323,-0.025755405,0.015369728,0.053622298,-0.0019092028,0.005763965,0.0066028503,0.04131243,0.014308732,-0.011270248,0.004079283,-0.020937154,-0.021306487,-0.05709038,-0.07281939,-0.058152437,0.055767335,-0.011968526,-0.027971277,-0.055087753,-0.026451807,0.0068328134,0.005061951,-0.06844496,-0.06308508,0.036682066,-0.0044960356,-0.014556041,-0.005730471,0.033509277,0.029773068,-0.030547164,-0.061707683,-0.029650638,-0.0005997084,-0.010160913,0.052958593,0.011321732,-0.04941784
ABCF1,0.017551852,0.05339681,-0.016633963,-0.06715609,-0.009232952,-0.01583513,-0.0029314589,-0.01970429,0.006404218,0.009544991,0.015680254,-0.084980235,-0.02446772,0.0011929031,-0.031897843,0.0024822385,0.006800933,-0.07953768,0.0216788,-0.08075587,-0.007256269,-0.060685772,0.018082533,-0.053792074,-0.0039683874,-0.02424454,0.005166845,-0.058089755,-0.012791534,-0.093302816,-0.0203267,-0.017979529,0.05510817,-0.058970023,-0.026888633,0.035965234,-0.053991467,0.053319514,-0.054338988,-0.07656443,0.02292889,0.0030548796,-0.030237215,-0.04492101,-0.012476094,0.06776821,0.0030049453,0.006036438,-0.020932622
ABI1,-0.020628136,-0.00088622456,-0.13308366,-0.036533516,-0.027060045,0.038105987,0.0130618,0.08740844,-0.03680289,0.03627023,0.10492024,-0.096843526,-0.037427895,-0.010860646,-0.05748881,-0.038985766,-0.035568997,-0.06376357,0.0366835,-0.0053412872,0.020831758,-0.0346437,-0.08046286,0.037807696,0.009928891,-0.011521167,-0.037297945,-0.021610595,-0.012984274,-0.036609,0.061542034,-0.048379853,0.032553013,-0.030135421,-0.01170345,-0.035475254,0.019649854,0.046026997,0.026869068,-0.016721455,-0.030321835,0.023773123,0.02374161,0.044284593,0.02219348,-0.089011006,0.027882697,0.0013395685,0.0060789953
ABL1,-0.016324928,-0.022486623,0.052931212,-0.10623637,0.036669113,0.07692518,-0.040363155,-0.04979375,-0.023517692,0.015778435,0.016010279,0.043136448,-0.018234568,-0.019752955,-0.0153150065,0.083028905,0.024523549,0.029783867,-0.035421208,0.00884527,0.03586132,0.05709187,0.024140414,0.01660323,-0.009045842,0.01536201,-0.0320356,0.04335745,-0.04974194,-0.022335378,0.04966389,-0.01517677,-0.0012767151,-0.016963951,-0.023870522,0.015314539,0.011174221,-0.047387566,-0.0032045944,0.04099165,-0.006941686,-0.010414997,-0.037732426,-0.015213192,0.0041724523,0.04344838,0.00063515716,0.02574347,-0.0011645469
ABT1,0.023845704,0.028597577,0.021985559,-0.08700532,-0.0009058956,-0.055050895,-0.020324582,-0.0871296,-0.04738992,-0.033114817,0.022848422,0.03901682,-0.09333668,-0.017496835,0.022976644,-0.0062770704,0.05201388,0.039384812,-0.07710419,0.00996249,-0.021825267,0.058589216,-0.013790715,-0.035198055,0.061600953,0.053880215,-0.03899327,0.05800441,0.027222771,-0.0013241838,0.077336945,0.03766435,-0.0029116098,0.078015536,-0.024291763,-0.0073297396,0.028080493,-0.05544329,0.035980318,-0.010875956,-0.03984338,0.12566511,-0.0035000388,-0.07142166,0.089123875,0.0009638202,0.04564399,0.043228786,0.083635546
ACACA,-0.05989477,0.02945254,-0.06928852,-0.09230499,0.0032681918,-0.026939377,-0.008306601,-0.090532646,-0.02703705,-0.0056763734,-0.045387395,0.017283143,-0.057830967,-0.07951244,0.037776574,-0.0714981,-0.04373041,-0.0028104773,0.011600623,-0.0804407,-0.021512067,-0.11257561,-0.0038491182,-0.078874804,0.07466454,-0.032400876,0.001882493,-0.13995858,-0.03609859,-0.036280565,-0.04504112,-0.039077245,0.011726028,0.0018770989,-0.030658757,-0.05952593,-0.15754235,-0.022024417,-0.022025155,-0.043813467,-0.0012342269,0.026197663,0.016775971,-0.08558395,-0.11759467,0.0017374409,-0.0044542574,0.035301723,-0.07694481
ACAD9,0.02201711,0.024591286,0.035583742,-0.069629945,0.09747301,-0.015350586,0.089889005,0.002219035,0.036741573,-0.03136642,-0.027652474,0.034863453,-0.0073987604,0.011965766,-0.025055382,0.0200972,0.020910172,0.14494076,0.0006003366,0.060421783,-0.019580774,0.063467614,-0.015957126,0.11613851,0.127573,0.079818666,-0.040825754,0.051639944,-0.010792724,-0.03774663,-0.046245046,0.021143444,0.009598107,-0.04438028,-0.0044698576,-0.001547911,0.0015817038,0.043031916,0.09116941,-0.007850126,0.08889474,0.016139254,0.014484055,0.05233887,0.0017547446,-0.032135073,-0.057591256,-0.013177458,0.004597385
ACAP2,-0.044410698,-0.047611132,0.0602487,0.021893643,-0.020550672,0.07574584,-0.07216731,0.036788512,-0.039521597,-0.007940339,0.05628715,0.044205565,0.0637528,-0.0082495855,0.06862477,0.0312655,-0.06302297,0.05150995,-0.004107055,0.0059002186,0.019164693,0.005413651,-0.06270352,-0.010997293,-0.022495028,0.06524543,0.009575805,0.029905459,0.04648045,0.028099636,-9.019544e-05,-0.06234969,-0.048938192,0.003922393,-0.044291865,0.027911533,-0.06682501,0.013111667,-0.01840567,0.024248248,-0.0006433115,-0.034999326,0.03169054,-0.055710163,0.1484909,0.0138940895,0.032899506,-0.016128311,-0.04622184
ACD,0.037876863,-0.05563489,-0.02891842,0.040210627,-0.05618092,0.00086295826,0.065730445,0.043032035,0.0183022,-0.016012346,0.07219248,0.032288637,0.058603704,0.0077091516,0.04164504,0.033522177,0.0793925,0.053589016,0.032932628,-0.003887134,-0.024076385,0.07895156,0.081450075,0.028737614,0.06343083,-0.008585945,0.01670795,0.07965838,-0.014526874,0.021579172,-0.022785008,0.02560221,-0.046601,0.08095699,0.06239012,-0.03605242,0.10711248,-0.017145177,0.044233378,0.060819868,0.018900527,0.011639952,0.1052911,-0.0046082665,0.069702335,0.051650286,0.048191603,-0.027458606,-0.02311126
ACIN1,-0.036594108,0.015172245,0.043418024,0.042694137,0.01571318,0.008170246,0.07667895,0.04577355,-0.010512648,0.03576297,-0.028785676,-0.019311706,0.037682004,0.05456971,0.0025734305,-0.022784177,0.091025375,-0.0337769,0.030545937,0.07393511,-0.016201437,0.023269918,-0.114010595,0.06495604,-0.0070836674,-0.049809325,-0.04687259,-0.033553038,0.08061269,-0.019501256,0.004826854,-0.092893265,-0.022021247,0.04569504,-0.042479735,-0.0055269864,-0.15022177,0.03819203,0.046150185,-0.09038141,-0.017610159,-0.008427073,0.08075532,0.020380924,-0.033607025,0.069662675,-0.051028147,0.009066937,0.052160345
ACLY,-0.041943222,0.048009958,-0.026791286,-0.0573795,0.05971292,0.0005518975,-0.0075090537,-0.0058812452,-0.066197276,0.04482264,0.003114291,0.059137333,-0.0404936,0.0018824624,-0.030287344,0.0034018212,-0.014367844,-0.04761708,0.037194435,0.0825002,-0.0017368972,-0.07153826,-0.06654284,-0.0010268821,-0.04998595,-0.015626356,0.017572721,0.017196486,0.055842135,0.024832346,0.047333427,-0.0703672,-0.058086116,0.0022623318,0.04492974,-0.056440156,-0.05989695,0.036175434,0.057289265,-0.051176354,0.0019271065,-0.02081916,-0.027258892,0.02805745,-0.015952243,0.053746045,0.07122942,0.030166553,0.0039437125
ACO2,-0.0031463238,0.08700625,-0.044151373,0.052045718,-0.0151182385,0.038348664,0.01790231,0.06605465,-0.07927516,-0.015407786,-0.008904898,0.08669288,-0.0623697,-0.039898627,0.0857152,0.039890323,-0.0035295365,0.073975,-0.011801457,0.05333433,0.024121352,0.044097736,-0.06406021,0.06603475,-0.03988971,0.022008643,0.0043096207,-0.025152545,0.05345143,-0.05308279,-0.03217588,-0.0071162693,-0.060122017,0.054014027,-0.039967332,-0.020055069,0.016443282,0.0016932721,-0.04083958,0.033429116,-0.0077154324,0.027303642,-0.025311,-0.0067792106,0.059786506,-0.03339857,0.02742539,0.009237317,-0.034119576
ACOX1,-0.013301902,0.06719749,-0.033359926,0.052141696,-0.024785697,0.007374672,-0.13764569,-0.01711527,-0.024047099,0.010302515,0.014966293,-0.09476007,0.09522817,0.005871692,0.010957917,-0.036334947,-0.026370294,-0.06051943,-0.077485465,-0.057652406,0.01138026,0.08177851,-0.03541229,-0.015573022,-0.06287541,0.051267326,0.039944194,0.0015351675,-0.024587927,0.025076784,-0.019744327,-0.11440975,-0.04318166,0.07488074,-0.04298551,-0.0017195198,-0.1099984,0.023790842,-0.05313949,-0.04800222,-0.107451074,-0.044509053,-0.059726313,-0.06082567,-0.027181111,-0.14490817,0.08366474,0.03699942,0.035149425
ACSL3,-0.08615305,0.08069414,0.050510272,-0.03378449,-0.06271168,-0.04981485,0.021913247,-0.057014193,-0.0067304582,-0.0036088207,0.04105234,-0.018552957,0.0062554968,0.02833984,0.01470963,-0.05587938,-0.06651489,0.018184088,-0.023061408,-0.03905714,0.040661883,-0.029974608,-0.03813875,0.03676638,0.056814667,0.057268485,-0.06949679,-0.045921847,-0.0016521348,-0.0013934037,0.04658718,0.010256876,-0.094682865,-0.004951129,0.068115205,0.007329913,-0.032902736,0.012007958,0.016883437,0.041311365,-0.015805608,0.018741678,0.015914295,0.028851075,0.007626567,-0.04468435,0.04036129,0.010875671,0.030461032
ACTB,0.0067186835,0.016883178,-0.041743726,0.024049094,0.035765067,0.0014903625,-0.0074890433,-0.034901768,0.107536644,-0.008145701,-0.019393174,0.034423493,0.059096184,0.036581457,-0.050598025,0.049996838,0.018696789,-0.02029766,0.027923487,-0.0032558981,0.019369936,-0.01826622,0.0141037395,-0.0039637443,0.03263959,0.029277477,-0.03072832,-0.08032233,0.022726025,0.04754352,-0.05445097,0.068605855,-0.07523922,-0.106320284,-0.016661093,0.0056796274,-0.0710503,0.02532808,0.019775318,0.049312644,-0.08032057,-0.02706266,-0.010510256,-0.061214793,-0.051875867,0.018673573,-0.027848305,-0.010740253,0.06598749
ACTL6A,-0.06362246,0.056082398,-0.13071126,-0.03457924,-0.04675873,0.053753927,0.013565311,-0.08765691,-0.061652485,0.0018495782,0.035351902,0.021550607,-0.07842348,-0.00482305,-0.053172067,-0.020939074,-0.0049791574,-0.09700272,-0.058889724,0.045757696,-0.06694913,-0.025020123,-0.01334164,0.009267015,-0.04127682,0.011641835,0.022773053,-0.068562806,-0.1049576,-0.06755055,-0.004199311,0.041135956,0.06402436,-0.059172276,-0.021710986,-0.016150283,-0.027296737,-0.091900155,0.0903692,-0.05079985,-0.057625487,-0.03352235,0.008437945,-0.0025869438,-0.024894394,0.041218005,-0.013239905,-0.027482424,-0.024195848
ACTR10,0.062479135,-0.035307154,-0.042181674,-0.026334638,0.0051597035,0.04176083,0.0016666822,-0.049325764,0.011708309,0.045691077,0.049170267,-0.014590314,-0.033475664,0.007886355,0.048425887,-0.04664518,0.03925074,0.09543008,0.035745613,-0.0023570682,-0.022066142,0.020743137,-0.015063344,0.03720538,-0.035959292,-0.073021695,0.01256718,-0.010979276,-0.017229944,0.0024294618,-0.01182329,-0.04256247,0.0010869632,0.0036517663,0.033716563,0.03201245,0.017707335,-0.020313878,0.016831992,0.0661745,0.02121693,0.0075671575,0.012373504,-0.033047818,-0.02701353,-0.05929679,-0.028673708,-0.067709126,0.0062653334
ACTR1A,0.1276528,-0.0006309473,-0.007329783,0.14267816,-0.022368377,0.009756124,0.03517241,-0.047148295,-0.040928386,-0.010971876,0.08302875,-0.04144669,0.0050280453,-0.08026454,-0.001564451,0.009009325,-0.029515306,0.03975066,-0.022768708,-0.0064732525,-0.00063550874,0.027154008,0.010299869,0.009170874,-0.037932336,0.0068615465,-0.03545901,-0.06358484,-0.0073398654,-0.031204607,0.09437581,-0.05528779,0.061277643,-0.011932119,-0.008960427,0.008557394,0.012560981,-0.028637908,-0.046315614,-0.056036446,0.060328864,0.05975733,0.021277586,0.05649957,-0.039094545,-0.03242715,-0.07985515,-0.0060384963,-0.0013183707
ACTR2,0.084307484,-0.12193882,-0.03146023,0.13753405,0.012792407,0.0069476846,-0.052843723,0.066201165,0.022645494,0.00011631181,-0.034121502,-0.028685208,-0.09928281,-0.013547052,-0.059108153,0.053503785,0.026270352,-0.044137664,0.017819738,0.014117756,0.08177092,0.007971319,0.013135558,0.05810573,0.01594674,0.0034832018,-0.028105617,-0.024795713,-0.054727506,-0.021759283,-0.011367339,-0.00010145827,0.06682394,0.034293815,-0.044286095,-0.108616345,-0.021270385,-0.03617605,0.021412633,-0.03211344,-0.048132073,0.0028981029,-0.017658828,-0.03268729,0.007155786,-0.050665002,-0.02063714,-0.013018854,-0.020652056
ACTR3,-0.014356651,0.015323138,-0.0226519,0.09602829,0.07458436,0.0017579355,0.015884621,-0.027481137,0.035986017,-0.02136151,0.11995438,0.061777722,-0.010587973,-0.041688614,-0.047124818,0.006878545,0.03235685,-0.056875236,0.043251064,0.06700358,-0.022522388,0.0066041127,0.05032568,0.002526943,-0.050459765,-0.0416866,0.028539257,-0.008251654,0.037854895,-0.026500281,0.049832422,-0.03832253,0.05917982,-0.031408925,-0.019510718,-0.040361304,-0.070879005,-0.01137697,0.0023886447,0.07170109,-0.008079081,0.016625445,0.06709822,0.026545838,0.0036366493,-0.04124409,0.056105115,0.03292469,-0.0150422435
ACTR5,-0.06215003,-0.036707215,-0.09065831,-0.0516414,-0.112808846,-0.036599755,-0.01406184,0.0007660816,-0.018656189,-0.0028450915,-0.015346652,0.010607046,0.018058851,-0.07069781,-0.021915317,-0.017833777,-0.02452715,0.0036834027,-0.020571264,0.008096641,-0.050856248,0.069515966,0.033432566,0.055090435,0.08966355,-0.084169306,-0.02411595,-0.022511391,-0.031216517,-0.059571154,-0.0025108354,-0.046453778,-0.013281741,-0.019322095,-0.10440515,-0.030702721,-0.05916549,-0.10554705,-0.035802037,-0.053298395,-0.008066434,-0.022165615,0.00090299593,0.044595685,-0.0058042663,0.0013904122,-0.0028610635,0.0151173035,-0.106017575
