Cancer Type,Pathway,F-statistic,p-value,Higher in
Diffuse Glioma,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,11.812364667596567,0.0013386918708066418,Diffuse Glioma
Diffuse Glioma,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",10.908997037019219,0.001961284092138132,Diffuse Glioma
Diffuse Glioma,Respiratory Electron Transport R-HSA-611105,9.611586528278886,0.0034465661631155504,Diffuse Glioma
Diffuse Glioma,Mitochondrial Biogenesis R-HSA-1592230,7.662097192992248,0.008354195385787562,Diffuse Glioma
Diffuse Glioma,Translation R-HSA-72766,4.145696350541562,0.048079152200292435,Diffuse Glioma
Diffuse Glioma,tRNA Aminoacylation R-HSA-379724,8.697642829964668,0.005187895230388384,Diffuse Glioma
Diffuse Glioma,Mitochondrial tRNA Aminoacylation R-HSA-379726,8.424111476777302,0.0058753693167365745,Diffuse Glioma
Diffuse Glioma,Leishmania Infection R-HSA-9658195,9.206953720173804,0.004125419754902398,Other Types
Diffuse Glioma,Cristae Formation R-HSA-8949613,16.28936697577126,0.0002253336693238567,Diffuse Glioma
Diffuse Glioma,Golgi-to-ER Retrograde Transport R-HSA-8856688,15.955173475151557,0.0002559142831974698,Other Types
Diffuse Glioma,Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442,14.559067833013323,0.0004396556919910292,Other Types
Diffuse Glioma,VEGFA-VEGFR2 Pathway R-HSA-4420097,10.967679246181783,0.0019127365014318983,Other Types
Diffuse Glioma,Asparagine N-linked Glycosylation R-HSA-446203,8.079183448322645,0.0068833664063655845,Other Types
Diffuse Glioma,Cytoprotection By HMOX1 R-HSA-9707564,12.967757208484526,0.0008310708415153062,Diffuse Glioma
Diffuse Glioma,Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,7.14392436522422,0.010663981179225533,Diffuse Glioma
Diffuse Glioma,TP53 Regulates Metabolic Genes R-HSA-5628897,19.081138673944167,8.034732879078375e-05,Diffuse Glioma
Diffuse Glioma,Signaling By MET R-HSA-6806834,7.853259852295592,0.0076423198789393855,Other Types
Diffuse Glioma,Signaling By VEGF R-HSA-194138,11.12855575191202,0.0017860502426379878,Other Types
Diffuse Glioma,Mitotic G2-G2/M Phases R-HSA-453274,4.523922290571667,0.0393412676108939,Other Types
Diffuse Glioma,FCGR3A-mediated Phagocytosis R-HSA-9664422,14.946789760674482,0.00037771073833392965,Other Types
Diffuse Glioma,Mitochondrial Protein Import R-HSA-1268020,5.199473859949898,0.027734214825069346,Diffuse Glioma
Diffuse Glioma,Metabolism Of Nucleotides R-HSA-15869,22.141909338416657,2.753248710027662e-05,Diffuse Glioma
