OncotreePrimaryDisease,Drug,F-statistic,p-value,Higher in,name,moa,target
Ovarian Epithelial Tumor,BRD-A00077618-236-07-6::2.5::HTS,7.090324432491756,0.007974194438570992,Other Types,8-bromo-cGMP,PKA activator,PRKG1
Ovarian Epithelial Tumor,BRD-A09062839-003-10-0::2.5::HTS,4.4537103252177355,0.03526832473463533,Other Types,amyleine,local anesthetic,
Ovarian Epithelial Tumor,BRD-A09094913-065-01-0::2.5::HTS,4.151479213274938,0.04207025006376854,Other Types,strychnine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA1, GLRA2, GLRA3, GLRB"
Ovarian Epithelial Tumor,BRD-A11731518-001-01-7::2.5::HTS,4.266388714232553,0.03933795592179016,Other Types,BAY-85-8050,,
Ovarian Epithelial Tumor,BRD-A13561534-003-02-0::2.5::HTS,5.192072836868987,0.02308863043653411,Ovarian Epithelial Tumor,ornithine,NFkB pathway modulator,"ARG1, ARG2, GATM, GPRC6A, OAT, OAZ1, OAZ2, OAZ3, OTC, SLC25A15, SLC25A2, SLC7A1, SLC7A2, SLC7A3, SLC7A4"
Ovarian Epithelial Tumor,BRD-A18627414-001-04-9::2.5::HTS,4.354300883007406,0.03736571983670905,Ovarian Epithelial Tumor,cyanocobalamin,"methylmalonyl CoA mutase stimulant, vitamin B","MMAA, MMACHC, MTHFR, MTR, MTRR, MUT"
Ovarian Epithelial Tumor,BRD-A18763547-300-05-5::2.5::HTS,5.010969041636667,0.02558143048252744,Other Types,BAX-channel-blocker,cytochrome C release inhibitor,BAX
Ovarian Epithelial Tumor,BRD-A20348246-001-15-8::2.5::HTS,4.7607989075471675,0.02953072039664269,Other Types,chlormezanone,GABA receptor modulator,"GABRA1, TSPO"
Ovarian Epithelial Tumor,BRD-A23067620-300-01-3::2.5::HTS,3.922655199611277,0.04813377924068148,Other Types,itraconazole,cytochrome P450 inhibitor,CYP51A1
Ovarian Epithelial Tumor,BRD-A24543851-001-05-7::2.5::HTS,5.16377817699756,0.023442943744967016,Other Types,nornicotine,acetylcholine receptor agonist,
Ovarian Epithelial Tumor,BRD-A26334849-001-06-2::2.5::HTS,4.310194993408429,0.03833863544441004,Other Types,propafenone,antiarrhythmic,"ADRB1, ADRB2, KCNA5, KCNH2, SCN5A"
Ovarian Epithelial Tumor,BRD-A26690767-066-01-9::2.5::HTS,6.795818243765625,0.009381472162258899,Ovarian Epithelial Tumor,saquinavir,HIV protease inhibitor,CYP3A4
Ovarian Epithelial Tumor,BRD-A27732521-003-08-3::2.5::HTS,4.537643777246744,0.03360362650104395,Ovarian Epithelial Tumor,tolperisone,voltage-gated sodium channel blocker,"CYP2C19, CYP2D6"
Ovarian Epithelial Tumor,BRD-A28044053-001-01-7::2.5::HTS,5.2964231433869715,0.02174152594648891,Ovarian Epithelial Tumor,arotinolol,adrenergic receptor antagonist,ADRB3
Ovarian Epithelial Tumor,BRD-A28329383-001-02-1::2.5::HTS,6.516098092853215,0.01095725394924749,Ovarian Epithelial Tumor,MTPG,glutamate receptor antagonist,"GRM2, GRM3"
Ovarian Epithelial Tumor,BRD-A29281099-003-03-2::2.5::HTS,4.0042478589774335,0.045880227266546364,Other Types,clorprenaline,adrenergic receptor agonist,"ADRB1, ADRB2"
Ovarian Epithelial Tumor,BRD-A29731977-001-04-5::2.5::HTS,4.388885216586562,0.03662339662765995,Other Types,17-hydroxyprogesterone-caproate,progesterone receptor agonist,"AR, ESR1, ESR2, NR1H4, NR1I2, NR3C1, PGR"
Ovarian Epithelial Tumor,BRD-A30886737-001-02-9::2.5::HTS,15.13413605466709,0.0001122380177002623,Other Types,florfenicol,protein synthesis inhibitor,
Ovarian Epithelial Tumor,BRD-A41714661-001-02-0::2.5::HTS,4.403065674947575,0.03632660449822141,Ovarian Epithelial Tumor,bilobalide,GABA receptor modulator,"GLRA1, GLRA2, GLRB, HTR3A, HTR3B"
Ovarian Epithelial Tumor,BRD-A46393198-003-16-6::2.5::HTS,4.094684289962614,0.04349526009541538,Ovarian Epithelial Tumor,tetramisole,immunostimulant,
Ovarian Epithelial Tumor,BRD-A51831848-001-01-7::2.5::HTS,3.9279181822134412,0.048010764397918244,Ovarian Epithelial Tumor,enflurane,membrane permeability inhibitor,"ATP2C1, ATP5D, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, GRIA1, KCNA1, KCNK10, KCNK18, KCNK2, KCNK3, KCNK9, KCNN4"
Ovarian Epithelial Tumor,BRD-A53134341-001-03-2::2.5::HTS,6.719681465060628,0.009796612194727043,Other Types,Ro-106-9920,NFkB pathway inhibitor,
Ovarian Epithelial Tumor,BRD-A55664972-236-02-6::2.5::HTS,6.320219286972076,0.012217722031273505,Ovarian Epithelial Tumor,sodium-tetradecyl-sulfate,,"PROC, PROS1"
Ovarian Epithelial Tumor,BRD-A55913614-316-09-6::2.5::HTS,7.192130457477238,0.007537682883079178,Other Types,primaquine,"antimalarial agent, DNA inhibitor","KRT7, NQO2"
Ovarian Epithelial Tumor,BRD-A57798112-001-03-7::2.5::HTS,4.039040674725056,0.044940848621056406,Ovarian Epithelial Tumor,PD-318088,MEK inhibitor,MAP2K1
Ovarian Epithelial Tumor,BRD-A57900429-003-05-8::2.5::HTS,5.524669756000411,0.019097344848167015,Other Types,hydrastinine,haemostatic agent,
Ovarian Epithelial Tumor,BRD-A65145453-001-06-1::2.5::HTS,9.55470245576118,0.0020951785878925554,Ovarian Epithelial Tumor,ATPA,glutamate receptor agonist,"GRIA2, GRIK1"
Ovarian Epithelial Tumor,BRD-A66116161-001-02-3::2.5::HTS,4.25080103208485,0.03969770146977857,Ovarian Epithelial Tumor,AM-1241,cannabinoid receptor agonist,"CNR1, CNR2"
Ovarian Epithelial Tumor,BRD-A68888262-003-15-1::2.5::HTS,3.865554032268421,0.04978048049346549,Other Types,azelastine,histamine receptor antagonist,HRH1
Ovarian Epithelial Tumor,BRD-A72703248-003-04-9::2.5::HTS,8.273906570760278,0.004175908259570418,Other Types,SKF-96365,calcium channel blocker,"CYP3A4, PKD2, TRPC1, TRPC3, TRPC4, TRPC5, TRPV2"
Ovarian Epithelial Tumor,BRD-A73709786-001-01-3::2.5::HTS,7.612334914776043,0.005991538097514121,Other Types,LB-100,protein phosphatase inhibitor,
Ovarian Epithelial Tumor,BRD-A77218119-001-03-5::2.5::HTS,5.539164255926053,0.018940763551162264,Other Types,SYM-2206,glutamate receptor antagonist,"GRIA1, GRIA2, GRIA3, GRIA4"
Ovarian Epithelial Tumor,BRD-A79768653-001-12-0::2.5::HTS,7.479725478525862,0.006440310385118478,Other Types,sirolimus,mTOR inhibitor,"FGF2, FKBP1A, MTOR"
Ovarian Epithelial Tumor,BRD-A84174393-236-07-1::2.5::HTS,4.726477729137038,0.030136046599477793,Ovarian Epithelial Tumor,meloxicam,cyclooxygenase inhibitor,"PTGS1, PTGS2"
Ovarian Epithelial Tumor,BRD-A84575140-001-02-4::2.5::HTS,6.6880068163917805,0.00996412618546021,Other Types,pimobendan,"calcium sensitizer, phosphodiesterase inhibitor",PDE3A
Ovarian Epithelial Tumor,BRD-A86619021-001-04-8::2.5::HTS,7.760792919583551,0.0055211153549231725,Other Types,andrographolide,tumor necrosis factor production inhibitor,NFKB1
Ovarian Epithelial Tumor,BRD-A90272038-001-01-7::2.5::HTS,4.468917778027441,0.034961480343399264,Ovarian Epithelial Tumor,CGP-37849,glutamate receptor antagonist,"GRIN2A, GRIN2B, GRIN2C, GRIN2D"
Ovarian Epithelial Tumor,BRD-A90799790-001-19-9::2.5::HTS,4.214923379679077,0.040532251662354524,Other Types,isradipine,calcium channel blocker,"CACNA1C, CACNA1D, CACNA1F, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2"
